positive_keywords,negative_keywords
accurate,worthless
supportive,useless
fantastic support,displeased
recommended always,very unreliable
perfect service,distressing
ideal,scammed
all you need,offensive
suitable,no progress
fair price,no accountability
top performance,felt betrayed
delivers as promised,disorganized
professional work,just awful
super service,distrust
valuable,terribly slow
efficient service,impossible to reach
always delivers,failing
worry-free,regretful
super good,unsupportive
zero hassle,tedious
world class,undependable
exceptional quality,unhelpful staff
complete satisfaction,hopeless
amazing support,ridiculous
super happy,dishonest
excellent choice,chaotic
blessed,substandard
super experience,terrible taste
really pleased,feels cheated
made my day,very uncomfortable
number one,totally wrong
very kind,very careless
very respectful,deeply dissatisfied
well organized,lacking transparency
very good service,completely off
honest,feels abandoned
reliable partner,no follow-up
decent,mistreated
highly regarded,very disorganized
completely satisfied,utterly worthless
great outcome,misguided
friendly staff,extremely disappointing
highly recommended,disturbing
impressive service,very unsatisfied
very affordable,frustration
well worth the price,deep regret
a must have,terribly managed
highly regarded,hard to trust
user-friendly,not recommended
feels great,felt misled
exceptional support,disgrace
outstanding help,offensive
very favorable,mistaken
impressive quality,lost trust
clear guidance,felt unwanted
very clear,deplorable
super professional,severely lacking
excellent timing,not recommended
prompt,unworthy
bright future,lack of care
outstanding customer service,seriously overpriced
well-maintained,felt insulted
ideal choice,worn out
gratitude,felt disrespected
amazing quality,overly complicated
efficiently handled,not reliable
best of the best,felt undervalued
gold standard,annoyed
helpful advice,very rude
secure,appalling
the best,not respectful
very smooth,total disappointment
full support,inexcusable
right on time,terribly executed
pure excellence,very disturbing
works perfectly,felt taken advantage
enjoyed it,wasted time
super convenient,horrible experience
life-changing,bothersome
very suitable,inferior quality
fabulous job,extremely unpleasant
no problem,felt swindled
all is well,not respectful
appreciative,horrible customer service
friendly atmosphere,not even worth trying
really smooth,huge letdown
best ever,terribly executed
super appreciative,
a delight,
kind-hearted,
very dependable,
well organized,
very flexible,
really helpful,
no issues,
likeable,
beneficial,
top service,
very organized,
dependable,
very well done,
very grateful,
forever thankful,
nothing to complain,
perfect choice,
timely support,
well executed,
smooth transition,
wonderful experience,
first-rate,
super supportive,
greatly pleased,
ideal service,
proud,
thankful for help,
very responsive,
right solution,
super affordable,
outstanding,
extremely quick,
awesome experience,
best support,
really effective,
appreciative of,
super smooth,
super quick,
reliable and fast,
really reliable,
keberhasilan,sangat mengecewakan
kemudahan akses,tidak seperti yang dijanjikan
harga sesuai,tidak worth it
mudah digunakan,terlalu mahal
pelayanan ramah,menyesal sekali
kualitas memuaskan,produk tidak sesuai
cepat tanggap,tidak berfungsi
bantu banget,kesulitan akses
mudah dipahami,tidak ada solusi
luar biasa ramah,tidak sesuai deskripsi
sangat direkomendasikan,proses terlalu lama
sangat responsif,sangat lambat
memenuhi ekspektasi,tidak efektif
terpercaya,tidak bisa diandalkan
produk bagus,produk jelek
puas maksimal,tidak memuaskan
pengalaman positif,sangat tidak direkomendasikan
ramah lingkungan,bikin marah
memberi inspirasi,tidak ada hasil
hasil baik,terlalu ribet
sangat cepat,pelayanan buruk
proses mudah,tidak membantu sama sekali
tanggap dan cepat,tidak bertanggung jawab
layanan konsisten,terlalu susah
ramah banget,tidak ramah
praktis,tidak ada tindak lanjut
terjangkau,kualitas rendah
sangat mendukung,barang rusak
benar-benar bagus,tidak berguna
sangat ekonomis,produk gagal
layanan memuaskan,tidak layak
profesional sekali,tidak profesional
kualitas bagus,penyelesaian buruk
bintang lima,tidak cepat tanggap
sangat membantu,pelayanan mengecewakan
ramah sekali,sangat mahal
mudah diakses,tidak sesuai ekspektasi
terbaik di kelasnya,penanganan lambat
rekomendasi kuat,produk cacat
nilai tinggi,tidak puas sama sekali
memberi solusi,penyelesaian lambat
membantu secara maksimal,tidak ada follow up
sangat menyenangkan,tidak jelas
puas dan senang,tidak beres
berkualitas tinggi,produk buruk
keputusan terbaik,kurang berkualitas
layanan sempurna,tidak responsif
pilihan tepat,pelayanan lambat
pelayanan oke,harga terlalu tinggi
dapat diandalkan,tidak memuaskan
pelayanan bagus,tidak ada perhatian
sangat terjangkau,produk sangat mengecewakan
produk berkualitas,tidak layak dibeli
nyaman digunakan,produk tidak sesuai janji
ramah pengguna,tidak bisa dipakai
mudah dipesan,tidak praktis
sangat berfaedah,sulit digunakan
sangat murah hati,penanganan tidak memuaskan
luar biasa cepat,proses rumit
sangat direkomendasikan,barang terlambat
sangat andal,tidak sesuai
proses aman,proses tidak jelas
ramah banget,pelayanan tidak baik
sangat terhormat,produk mengecewakan
senang sekali,tidak nyaman
sangat memuaskan,kualitas buruk
pasti puas,proses lama sekali
sangat nyaman,tidak worth it sama sekali
tidak ada keluhan,barang hilang
sangat cocok,barang tidak sampai
bagus banget,produk rusak
kualitas sangat baik,harga mahal
sangat worth it,proses berbelit
pantas dicoba,kinerja lambat
mudah dan nyaman,tidak bermanfaat
terbaik di bidangnya,produk salah
bisa dipercaya,tidak kompeten
mengesankan,pelayanan buruk
produk unggulan,komunikasi kurang
harganya pas,tidak ada kepastian
mudah diatur,penanganan buruk
layanan profesional,tidak ada perkembangan
luar biasa ramah,tidak ramah pelanggan
tidak ada masalah,tidak memadai
sangat mendukung,tidak sepadan
reliable sekali,produk mengecewakan
nyaman sekali,tidak worth it sama sekali
tidak mengecewakan,kualitas menurun
layak dipercaya,tidak efisien
produk handal,tidak sesuai harapan
kualitas terjamin,tidak ada perbaikan
bermanfaat sekali,produk ketinggalan zaman
sangat fleksibel,tidak layak sama sekali
memenuhi kebutuhan,tidak disarankan
aman sekali,tidak sesuai janji
produk solid,tidak profesional sama sekali
semua baik,proses membosankan
produk bagus banget,tidak ada respons
top service,kinerja lambat
nyaman banget,tidak puas
ekstra cepat,proses terlalu lama
sangat cepat,sangat lambat
membantu sekali,tidak bisa diandalkan
efisien sekali,sangat mahal
penanganan profesional,tidak layak sama sekali
sangat tepat waktu,sangat tidak puas
produk luar biasa,tidak sesuai deskripsi
produk worth it,tidak memberikan solusi
selalu memuaskan,produk sangat buruk
ekonomis sekali,tidak sesuai ekspektasi
harganya terjangkau,sangat tidak memadai
layak dipilih,pelayanan tidak menyenangkan
mudah digunakan,tidak jelas arah
sangat nyaman,produk cacat
ramah sekali,tidak layak dibeli
produk luar biasa,produk tidak aman
luar biasa bermanfaat,penanganan sangat lambat
praktis banget,tidak sesuai janji
produk murah,proses menyulitkan
pelayanan bintang 5,sangat mengecewakan
paling rekomendasi,tidak bisa dipercaya
produk aman,tidak ada kepastian
produk yang sangat bagus,proses berbelit
mudah sekali digunakan,barang cacat
harga bagus,penanganan buruk
sangat disarankan,produk sangat mengecewakan
ramah pelanggan,sangat menyulitkan
cepat prosesnya,tidak memadai
bantu banget,sangat lambat
dapat dipercaya,tidak worth it sama sekali
produk elegan,harga mahal
ekspres,produk jelek
mudah dipesan,tidak ada kejelasan
ramah banget,kualitas rendah
sangat senang,tidak efektif
bikin nyaman,tidak sesuai ekspektasi
sangat murah,tidak puas
memuaskan hati,tidak profesional sama sekali
ramah lingkungan,kinerja sangat lambat
produk terbaik,penanganan tidak baik
pelayanan bagus banget,proses mengecewakan
luar biasa mendukung,kualitas sangat buruk
produk berkualitas tinggi,tidak sesuai harapan
ramah sekali,sangat lambat
produk nyaman,tidak memuaskan
puas sekali,produk mengecewakan
proses gampang,pelayanan tidak ramah
keputusan terbaik,kualitas rendah
pengalaman memuaskan,sangat tidak worth it
dapat diandalkan,proses sangat lambat
layak dicoba,pelayanan tidak efisien
puas banget,
senang sekali,
kualitas sangat baik,
top banget,
nilai yang tinggi,
produk ramah pengguna,
baik sekali,
cepat banget,
produk paling aman,
layanan memuaskan,
ekonomis dan praktis,
produk yang luar biasa,
hemat waktu,
sangat nyaman,
aman dan terpercaya,
produknya sangat baik,
produk praktis,
kualitas luar biasa,
pengalaman menyenangkan,
mudah sekali,
